"OriginalPath","QuarantinePath","LastWriteTime","LengthBytes","Action","ActionTime"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat","C:\Users\labuser\Documents\training\Day3\rollback\quarantine_20260805_051324\C__Users_labuser_AppData_Local_Temp_2_gen_py_3.9_dicts.dat","8/5/2026 3:47:58 AM","10","Moved","8/5/2026 5:13:24 AM"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\__init__.py","C:\Users\labuser\Documents\training\Day3\rollback\quarantine_20260805_051324\C__Users_labuser_AppData_Local_Temp_2_gen_py_3.9___init__.py","8/5/2026 3:47:58 AM","176","Moved","8/5/2026 5:13:24 AM"
